上海頻道,#genre#
上海卫视,http://39.135.34.142:8080/000000001000/1000000001000030202/1.m3u8?#http://39.135.32.29:6610/000000001000/1000000001000030202/1.m3u8?
上海外语,http://39.134.39.39/PLTV/88888888/224/3221226201/index.m3u8#http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海纪实,http://223.110.245.156/ott.js.chinamobile.com/PLTV/3/224/3221227674/index.m3u8#http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
上海法制天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
上海浦东财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8
上海七彩戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8#http://112.25.48.68/live/program/live/qcxj/1300000/mnf.m3u8#http://140.207.241.2:8080/live/program/live/qcxj/1300000/mnf.m3u8
上海生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
上海新闻综合,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
上海东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
上海新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
上海全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8#http://112.25.48.68/live/program/live/qjshd/4000000/mnf.m3u8
上海极速汽车,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
上海动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8#http://112.25.48.68/live/program/live/dmxchd/4000000/mnf.m3u8
上海欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
上海游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8#http://112.25.48.68/live/program/live/yxfyhd/4000000/mnf.m3u8
上海劲爆体育,http://112.25.48.68/live/program/live/jbtyhd/4000000/mnf.m3u8
上海哈哈炫动,http://183.207.255.188/live/program/live/xdkt/1300000/mnf.m3u8
央视頻道,#genre#
CCTV-1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?
CCTV-2财经,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-2/1.m3u8?
CCTV-3综艺,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?
CCTV-4国际,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?
CCTV-5体育,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?
CCTV-6电影,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?
CCTV-7军事,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-7/1.m3u8?
CCTV-8电视,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?
CCTV-9纪录,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?
CCTV-1科教,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-10/1.m3u8?
CCTV-11戏曲,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?
CCTV-12社会,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-12/1.m3u8?
CCTV-13新闻,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?
CCTV-14少儿,http://39.135.138.58:18890/PLTV/88888910/224/3221225639/index.m3u8?
CCTV-15音乐,http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?
CCTV-5⁺体育,http://39.135.138.58:18890/PLTV/88888910/224/3221225706/index.m3u8?
CCTV-17农业,http://39.135.138.58:18890/PLTV/88888910/224/3221225908/index.m3u8?
港澳頻道,#genre#
凤凰中文,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8#http://223.110.245.139/PLTV/3/224/3221226922/index.m3u8#http://zb.ios.ifeng.com/live/05QGDA0CIRK/index.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8#http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8#http://zb.ios.ifeng.com/live/05QGCOB3T34/index.m3u8#http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228597/index.m3u8
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
香港卫视,https://al-pull2.hkatv.vip/live/hktv20210929.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
创世电视,http://al-pull2.hkatv.vip/live/CTV.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
CNC中文台,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8#http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC英文台,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8#http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
卫视頻道,#genre#
湖南卫视,http://39.135.34.150:8080/000000001000/1000000001000009115/1.m3u8?#http://183.207.248.71:80/cntv/live1/hunanstv/hunanstv#http://39.134.24.24/PLTV/88888888/224/3221225616/index.m3u8
江苏卫视,http://39.135.34.150:8080/000000001000/1000000001000004684/1.m3u8?#http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-jiangsustv/HD-2500k-1080P-jiangsustv#http://39.134.24.24/PLTV/88888888/224/3221225602/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225734/index.m3u8
浙江卫视,http://39.135.34.150:8080/000000001000/1000000001000009806/1.m3u8?
安徽卫视,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-anhuistv/HD-8000k-1080P-anhuistv#http://39.134.24.24/PLTV/88888888/224/3221225847/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225638/index.m3u8
北京卫视,http://39.135.34.150:8080/000000001000/1000000001000017156/1.m3u8?
东方卫视,http://39.135.34.150:8080/000000001000/1000000001000030202/1.m3u8?
广东卫视,http://39.135.34.150:8080/000000001000/1000000001000028357/1.m3u8?
东南卫视,http://39.135.34.150:8080/000000001000/1000000002000009263/1.m3u8?
深圳卫视,http://39.135.34.150:8080/000000001000/1000000001000011645/1.m3u8?#http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-shenzhenstv/HD-2500k-1080P-shenzhenstv#http://39.134.24.24/PLTV/88888888/224/3221225843/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225764/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225590/index.m3u8
